customer_id,customer_name,age,gender,country,email,product,quantity,price,payment_method,order_date,delivery_date
139,JOHN DOE 139,30,Female,ng,user139@email.com,Phone,9999,150 USD,cash,,20/01/2026
140,John Doe 140,,Female,US,user140email.com,,-2,99.99,,01-15-26,10/01/2026
141, john doe 141 ,Twenty Eight,female,US,,Laptop,2,99.99,cash,yesterday,20/01/2026
142,John Doe 142,-5,Male,US,,,5,$200,Transfer,15/01/2026,20/01/2026
143,JOHN DOE 143,22,Female,NIGERIA,user143email.com,,-2,,,01-15-26,20/01/2026
144, john doe 144 ,25,,NIGERIA,,Keyboard,0,120,,15/01/2026,invalid-date
145,John Doe 145,30,Female,USA,user145email.com,Monitor,3,99.99,Cash,yesterday,20/01/2026
146,JOHN DOE 146,,Male,ng,USER146@EMAIL.COM,,-2,150 USD,Cash,01-15-26,20/01/2026
146,JOHN DOE 147,40,M,US,,,2,,Transfer,yesterday,
148,,-5,female,United States,,Laptop,10,99.99,Card,yesterday,20/01/2026
148,JOHN DOE 149,-5,,USA,USER149@EMAIL.COM,,10,-100,,yesterday,
150,,-5,M,USA,,Phone,-2,-100,,15/01/2026,20/01/2026
151,,Twenty Eight,Male,Nigeria,user151email.com,Phone,1,120,,15/01/2026,10/01/2026
152,,Twenty Eight,F,US,,Monitor,0,,,yesterday,20/01/2026
152,,40,male,United States,,,5,99.99,Cash,15/01/2026,10/01/2026
154,John Doe 154,Twenty Eight,,U.S.A,user154@email.com,,5,-100,Transfer,yesterday,10/01/2026
155, john doe 155 ,25,F,Nigeria,user155email.com,Phone,0,,Card,15/01/2026,invalid-date
156,,35,M,Nigeria,user156email.com,Laptop,3,500,Card,yesterday,20/01/2026
157, john doe 157 ,40,F,NIGERIA,,Laptop,-2,150 USD,Transfer,,
157,,Twenty Eight,Male,ng,USER158@EMAIL.COM,Laptop,0,120,cash,,10/01/2026
159,,30,female,ng,USER159@EMAIL.COM,Laptop,10,120,Cash,15/01/2026,invalid-date
160,,35,M,U.S.A,,,10,120,cash,01-15-26,20/01/2026
161, john doe 161 ,-5,,Nigeria,,,1,50,Card,15/01/2026,20/01/2026
162,,Twenty Eight,male,NIGERIA,,Laptop,10,-100,CARD,yesterday,10/01/2026
163,JOHN DOE 163,Twenty Eight,F,NIGERIA,user163email.com,,-2,150 USD,Cash,yesterday,10/01/2026
164,,250,male,United States,user164email.com,Keyboard,3,,CARD,,20/01/2026
164, john doe 165 ,30,M,ng,,Monitor,2,50,cash,01-15-26,
166,,-5,Male,USA,,Keyboard,5,120,cash,yesterday,
167,JOHN DOE 167,Twenty Eight,,Nigeria,user167@email.com,,5,500,,,invalid-date
168,JOHN DOE 168,Twenty Eight,,United States,USER168@EMAIL.COM,Laptop,10,50,Transfer,15/01/2026,
168,,22,,ng,user169@email.com,Mouse,5,,Cash,,invalid-date
170, john doe 170 ,25,Female,Nigeria,user170email.com,Mouse,3,99.99,Transfer,yesterday,invalid-date
170,,,,U.S.A,user171email.com,Mouse,1,50,cash,15/01/2026,10/01/2026
172,,30,F,Nigeria,,,0,,cash,15/01/2026,
173,John Doe 173,,,Nigeria,user173email.com,Monitor,9999,-100,,yesterday,20/01/2026
173, john doe 174 ,22,,U.S.A,user174@email.com,,9999,-100,,,10/01/2026
175,,35,M,US,,,1,99.99,CARD,15/01/2026,20/01/2026
176,,250,,United States,,Phone,9999,50,Transfer,15/01/2026,10/01/2026
177,JOHN DOE 177,,female,U.S.A,USER177@EMAIL.COM,Monitor,0,,,01-15-26,
178,JOHN DOE 178,40,male,Nigeria,user178email.com,,5,150 USD,cash,01-15-26,
179,John Doe 179,250,F,US,user179@email.com,,-2,,Cash,15/01/2026,invalid-date
180, john doe 180 ,Twenty Eight,male,Nigeria,,,5,500,cash,,invalid-date
181,John Doe 181,35,,United States,USER181@EMAIL.COM,,5,50,Transfer,,10/01/2026
181,,25,Female,ng,,Monitor,3,50,Cash,,10/01/2026
183, john doe 183 ,40,,ng,,Phone,1,99.99,Card,,10/01/2026
184,,250,male,United States,user184@email.com,Monitor,9999,120,Transfer,01-15-26,20/01/2026
185,John Doe 185,,F,U.S.A,user185email.com,,9999,120,Transfer,,
186, john doe 186 ,40,,ng,,Keyboard,3,50,cash,01-15-26,invalid-date
186,JOHN DOE 187,-5,Female,USA,USER187@EMAIL.COM,Monitor,2,$200,Transfer,15/01/2026,10/01/2026
188,JOHN DOE 188,35,F,NIGERIA,,Phone,9999,-100,Card,01-15-26,invalid-date
189,John Doe 189,25,female,United States,,Mouse,9999,-100,CARD,15/01/2026,
190,,35,,ng,,Mouse,3,150 USD,,15/01/2026,
191,John Doe 191,35,male,USA,,,5,99.99,cash,,
191,John Doe 192,,Female,NIGERIA,,Mouse,5,120,Transfer,15/01/2026,invalid-date
192,,25,Male,Nigeria,,Keyboard,9999,50,,yesterday,10/01/2026
194,John Doe 194,40,,United States,USER194@EMAIL.COM,,1,$200,Card,01-15-26,20/01/2026
194, john doe 195 ,,M,ng,user195email.com,,1,99.99,,yesterday,20/01/2026
196,,250,M,NIGERIA,,,0,$200,Cash,yesterday,
197,John Doe 197,25,female,US,USER197@EMAIL.COM,,3,$200,,,10/01/2026
198, john doe 198 ,,female,U.S.A,,,-2,$200,,15/01/2026,10/01/2026
199,John Doe 199,25,male,Nigeria,USER199@EMAIL.COM,Laptop,1,$200,Transfer,,20/01/2026
200,John Doe 200,22,M,Nigeria,USER200@EMAIL.COM,Monitor,5,50,CARD,yesterday,
201,,-5,female,United States,,Laptop,0,500,cash,01-15-26,10/01/2026
202,,30,,U.S.A,,Monitor,-2,150 USD,Transfer,15/01/2026,invalid-date
202,John Doe 203,30,,US,USER203@EMAIL.COM,Mouse,9999,500,cash,15/01/2026,invalid-date
204,,30,F,USA,user204email.com,Mouse,-2,500,,01-15-26,10/01/2026
205,,35,Female,US,user205@email.com,Phone,1,-100,,yesterday,20/01/2026
205, john doe 206 ,-5,Female,US,user206@email.com,Phone,10,50,cash,15/01/2026,10/01/2026
207,JOHN DOE 207,-5,,US,user207email.com,Laptop,10,$200,,yesterday,invalid-date
208,,Twenty Eight,Female,NIGERIA,,Phone,0,500,Card,01-15-26,invalid-date
209,,40,Female,US,user209email.com,Mouse,-2,-100,,15/01/2026,10/01/2026
210, john doe 210 ,-5,M,NIGERIA,USER210@EMAIL.COM,Mouse,10,150 USD,Transfer,yesterday,
210, john doe 211 ,30,Female,USA,user211@email.com,,1,50,CARD,15/01/2026,20/01/2026
211,,22,Male,USA,,Mouse,5,150 USD,cash,01-15-26,20/01/2026
213,John Doe 213,250,,ng,,Phone,1,50,Card,,invalid-date
214,,25,male,United States,user214email.com,Keyboard,3,500,Transfer,15/01/2026,invalid-date
214,,35,,Nigeria,user215@email.com,Keyboard,5,-100,Card,15/01/2026,20/01/2026
216,,22,Male,U.S.A,user216email.com,Phone,3,99.99,,yesterday,
217, john doe 217 ,Twenty Eight,F,USA,,Phone,10,50,cash,15/01/2026,invalid-date
218,,30,,NIGERIA,,Mouse,-2,99.99,Cash,01-15-26,10/01/2026
219,,250,Female,ng,user219@email.com,Laptop,3,99.99,Cash,,invalid-date
220,JOHN DOE 220,250,,US,,Phone,0,50,,01-15-26,
221, john doe 221 ,250,,NIGERIA,user221@email.com,,2,-100,,15/01/2026,20/01/2026
222,JOHN DOE 222,30,,United States,user222@email.com,,-2,,Cash,01-15-26,20/01/2026
222,John Doe 223,25,Male,USA,,Monitor,3,99.99,cash,15/01/2026,
223,John Doe 224,25,Female,Nigeria,,Mouse,0,$200,CARD,15/01/2026,invalid-date
224, john doe 225 ,250,male,U.S.A,user225email.com,Keyboard,3,120,Cash,01-15-26,invalid-date
226,,250,Female,US,user226email.com,Laptop,10,150 USD,CARD,15/01/2026,invalid-date
226,JOHN DOE 227,40,,ng,user227email.com,,1,$200,,01-15-26,
228, john doe 228 ,30,,United States,,Monitor,10,,,,10/01/2026
229,John Doe 229,Twenty Eight,Female,Nigeria,,Mouse,5,,CARD,yesterday,invalid-date
230,,,,U.S.A,user230email.com,,1,150 USD,Cash,15/01/2026,
230,,35,,Nigeria,user231@email.com,Keyboard,10,120,cash,yesterday,
232,JOHN DOE 232,,M,NIGERIA,user232@email.com,Mouse,-2,50,Card,01-15-26,20/01/2026
233, john doe 233 ,250,Female,US,user233@email.com,Monitor,0,$200,Transfer,15/01/2026,20/01/2026
234,,Twenty Eight,male,USA,user234@email.com,,3,,,15/01/2026,
234,JOHN DOE 235,30,,USA,USER235@EMAIL.COM,Keyboard,0,-100,,01-15-26,
236,JOHN DOE 236,Twenty Eight,male,NIGERIA,user236@email.com,,0,99.99,CARD,01-15-26,20/01/2026
237,,35,M,U.S.A,,,3,120,,01-15-26,
237,,250,Male,NIGERIA,,Phone,-2,50,CARD,,10/01/2026
239, john doe 239 ,40,,USA,user239email.com,Monitor,2,99.99,,,10/01/2026
240,JOHN DOE 240,Twenty Eight,F,ng,,Keyboard,0,$200,cash,,
241,JOHN DOE 241,30,male,U.S.A,user241@email.com,Monitor,10,99.99,,15/01/2026,invalid-date
241,,30,M,US,,,-2,$200,cash,,10/01/2026
243,,30,Male,ng,USER243@EMAIL.COM,Monitor,3,150 USD,Card,01-15-26,10/01/2026
243,,Twenty Eight,,US,,Phone,3,500,Card,yesterday,
245, john doe 245 ,22,,Nigeria,USER245@EMAIL.COM,,5,-100,,15/01/2026,invalid-date
246,,Twenty Eight,Female,US,,Laptop,2,99.99,,01-15-26,invalid-date
247,,35,male,ng,user247email.com,,10,50,CARD,yesterday,invalid-date
248,John Doe 248,35,F,Nigeria,USER248@EMAIL.COM,Monitor,0,$200,cash,15/01/2026,10/01/2026
249,,,male,U.S.A,,,3,,,01-15-26,invalid-date
250,JOHN DOE 250,250,Female,ng,USER250@EMAIL.COM,,1,-100,,15/01/2026,10/01/2026
250,,250,male,NIGERIA,,,9999,120,,,invalid-date
252,,25,Male,ng,,,-2,-100,,01-15-26,
252, john doe 253 ,25,,United States,USER253@EMAIL.COM,Monitor,9999,,,15/01/2026,
254,John Doe 254,40,male,NIGERIA,user254email.com,,0,120,,,
255,,Twenty Eight,Female,NIGERIA,,Phone,1,99.99,,15/01/2026,
256,JOHN DOE 256,40,M,USA,user256email.com,Keyboard,3,-100,,15/01/2026,invalid-date
257,,40,male,U.S.A,user257@email.com,Mouse,5,$200,CARD,15/01/2026,20/01/2026
257, john doe 258 ,,,USA,user258@email.com,Phone,9999,50,Transfer,15/01/2026,invalid-date
259,,25,M,NIGERIA,user259email.com,,2,99.99,CARD,01-15-26,invalid-date
260,,25,,ng,USER260@EMAIL.COM,Phone,1,120,Card,yesterday,invalid-date
260,JOHN DOE 261,25,M,U.S.A,user261email.com,Monitor,3,99.99,,,
262,,25,female,NIGERIA,USER262@EMAIL.COM,Laptop,5,-100,,15/01/2026,invalid-date
263,,35,Male,United States,,Monitor,9999,$200,CARD,15/01/2026,10/01/2026
264,John Doe 264,250,male,USA,,Monitor,-2,,CARD,,10/01/2026
264,,22,,USA,,,1,$200,cash,,invalid-date
266, john doe 266 ,,F,US,user266@email.com,Mouse,3,-100,,15/01/2026,invalid-date
267,,25,male,US,USER267@EMAIL.COM,Mouse,10,$200,cash,15/01/2026,20/01/2026
268, john doe 268 ,22,,United States,USER268@EMAIL.COM,Mouse,10,120,cash,15/01/2026,20/01/2026
269,JOHN DOE 269,40,,United States,user269@email.com,Mouse,3,,Card,15/01/2026,invalid-date
269,,40,M,United States,user270@email.com,Phone,2,150 USD,Cash,yesterday,invalid-date
271, john doe 271 ,25,Male,US,user271@email.com,Monitor,2,500,Transfer,,20/01/2026
272, john doe 272 ,30,,NIGERIA,USER272@EMAIL.COM,Monitor,3,50,Cash,,
273,,25,Male,US,USER273@EMAIL.COM,Laptop,0,99.99,Transfer,,20/01/2026
274, john doe 274 ,40,female,Nigeria,user274@email.com,,10,,Cash,15/01/2026,
275, john doe 275 ,35,Male,US,USER275@EMAIL.COM,Laptop,9999,,CARD,,
276,John Doe 276,,Female,Nigeria,,Phone,0,50,Transfer,01-15-26,20/01/2026
277,,Twenty Eight,,NIGERIA,user277@email.com,Monitor,1,120,Transfer,01-15-26,20/01/2026
278,,25,M,U.S.A,,Monitor,2,120,Cash,yesterday,20/01/2026
279,John Doe 279,-5,Female,U.S.A,user279email.com,,-2,,,01-15-26,
280,,25,male,Nigeria,,Monitor,3,99.99,,15/01/2026,
281, john doe 281 ,35,female,ng,user281@email.com,,9999,-100,,yesterday,invalid-date
282,,22,Male,NIGERIA,USER282@EMAIL.COM,Monitor,5,,Cash,15/01/2026,20/01/2026
282,John Doe 283,30,M,USA,user283@email.com,Laptop,1,$200,Card,yesterday,10/01/2026
284,John Doe 284,35,Male,USA,user284@email.com,Phone,3,500,,yesterday,invalid-date
284,John Doe 285,Twenty Eight,M,Nigeria,user285@email.com,Keyboard,3,99.99,,01-15-26,20/01/2026
286, john doe 286 ,250,M,United States,USER286@EMAIL.COM,Monitor,9999,50,Transfer,yesterday,
286,John Doe 287,30,male,United States,,Keyboard,1,500,CARD,01-15-26,
288,,250,,United States,,Mouse,5,500,cash,,20/01/2026
289,John Doe 289,-5,female,USA,user289email.com,,-2,-100,Transfer,15/01/2026,20/01/2026
290,JOHN DOE 290,,Male,ng,USER290@EMAIL.COM,Phone,0,500,cash,15/01/2026,20/01/2026
291,JOHN DOE 291,250,Male,NIGERIA,,,0,120,Cash,15/01/2026,10/01/2026
291,John Doe 292,30,male,USA,USER292@EMAIL.COM,Phone,5,150 USD,cash,,invalid-date
293, john doe 293 ,35,F,NIGERIA,,Phone,1,150 USD,,15/01/2026,invalid-date
294,John Doe 294,-5,F,NIGERIA,user294@email.com,,1,50,Transfer,15/01/2026,10/01/2026
294,,25,F,U.S.A,USER295@EMAIL.COM,,0,-100,cash,01-15-26,10/01/2026
296, john doe 296 ,-5,Male,NIGERIA,user296email.com,Mouse,5,120,Transfer,yesterday,invalid-date
297,,22,M,United States,,,3,,Card,,10/01/2026
297,John Doe 298,35,female,U.S.A,user298email.com,Phone,0,,,15/01/2026,20/01/2026
298,,25,,U.S.A,user299@email.com,Keyboard,0,-100,Transfer,15/01/2026,20/01/2026
300, john doe 300 ,250,,USA,,,0,$200,,15/01/2026,
301,JOHN DOE 301,22,M,US,user301@email.com,Phone,10,50,,01-15-26,invalid-date
301, john doe 302 ,25,,U.S.A,user302@email.com,Laptop,2,,Card,,
303, john doe 303 ,-5,male,USA,user303email.com,Keyboard,5,500,cash,yesterday,invalid-date
303,John Doe 304,,female,ng,user304@email.com,,9999,120,,15/01/2026,invalid-date
305,John Doe 305,Twenty Eight,,ng,USER305@EMAIL.COM,Laptop,5,99.99,Cash,15/01/2026,10/01/2026
305, john doe 306 ,250,F,US,,Monitor,9999,150 USD,CARD,01-15-26,20/01/2026
307,JOHN DOE 307,Twenty Eight,Male,U.S.A,user307email.com,,1,-100,,yesterday,
308,,25,Male,ng,,Keyboard,2,,,,
309,John Doe 309,,,ng,,,-2,150 USD,Card,,10/01/2026
310, john doe 310 ,,M,USA,USER310@EMAIL.COM,Keyboard,3,99.99,Card,yesterday,10/01/2026
311,John Doe 311,250,,Nigeria,user311email.com,Keyboard,5,120,cash,,invalid-date
311, john doe 312 ,-5,M,Nigeria,user312@email.com,Mouse,10,150 USD,cash,15/01/2026,
313,,25,,Nigeria,,Mouse,2,99.99,Transfer,01-15-26,invalid-date
313,John Doe 314,22,,United States,,,3,-100,CARD,yesterday,10/01/2026
